genome	locus_tag	gene_gc_percent	genome_gc_percent	gene_gc_skew	genome_gc_skew	gc_diff	skew_diff
GCF_013487885	SAMN13624825_00157	35.476	33.195	0.1517	0.0043	2.281	0.1474
GCF_023205755	SAMN14517369_00481	55.699	49.962	-0.1419	-0.0005	5.737	-0.1414
GCF_030438335	SAMN36277556_00396	43.357	41.34	0.0556	-0.001	2.017	0.0566
GCF_002278095	SAMN07515627_00853	55.508	49.045	-0.1493	0.013	6.463	-0.1622
GCF_030770295	SAMN36868840_01638	51.554	47.93	-0.0872	-0.0016	3.624	-0.0856
GCF_025808175	SAMN31210310_01548	49.115	47.143	-0.1022	-0.0003	1.972	-0.1019
GCF_024125225	SAMN28102056_01586	49.737	46.578	-0.1058	0.0005	3.159	-0.1063
GCF_000194115	SAMN02603307_01039	39.503	38.148	0.0652	0.0184	1.355	0.0468
GCF_023523445	SAMN24699184_01177	40.544	38.079	0.0601	-0.0012	2.466	0.0613
GCF_001436135	SAMN02369479_00529	60.606	53.467	-0.1397	0.0116	7.139	-0.1513
GCF_040267725	SAMN41829189_02497	49.976	46.439	-0.11	0.0004	3.538	-0.1105
GCF_031202655	SAMN29933357_01640	52.388	46.69	-0.0757	-0.0031	5.698	-0.0725
GCF_015377485	SAMN13106275_01654	52.053	46.676	-0.0734	-0.0021	5.377	-0.0712
GCF_009184705	SAMN12784790_00137	37.885	36.18	0.1715	0.0006	1.705	0.1708
GCF_024397395	SAMN29766956_01104	37.106	34.724	0.1377	-0.0008	2.382	0.1385
GCF_001953785	SAMN06045933_00753	43.404	39.597	0.0261	-0.1081	3.808	0.1342
GCF_015476135	SAMN16667758_00208	49.88	46.398	-0.1064	-0.0002	3.483	-0.1062
GCF_036245395	SAMD00627879_00528	39.725	37.203	0.0637	-0.0828	2.522	0.1464
GCF_001013375	SAMN03580836_02848	51.172	48.054	-0.086	0.0378	3.118	-0.1238
GCF_001723545	SAMN05722918_00645	35.651	41.93	0.0689	0.0051	-6.279	0.0638
GCF_025311455	SAMN30836879_01982	48.395	41.538	0.04	-0.0039	6.857	0.0439
GCF_931185875	SAMEA12928682_01505	55.268	49.655	-0.1421	0.0021	5.613	-0.1442
GCF_028309055	SAMN31135165_01689	40.401	37.866	0.0567	0.0916	2.535	-0.0349
GCF_030770315	SAMN36868849_01637	51.172	48.007	-0.0916	-0.0028	3.165	-0.0888
GCF_963506805	SAMEA114249617_01768	36.973	35.366	0.0803	0.0108	1.607	0.0695
GCF_031348425	SAMN37235621_01045	49.976	46.354	-0.1062	0.0017	3.622	-0.1079
GCF_015476095	SAMN16657552_00846	50.98	47.9	-0.0807	-0.0031	3.081	-0.0776
GCF_004122925	SAMN10790217_01333	51.958	47.233	-0.0735	0.0889	4.725	-0.1624
GCA_044603275	SAMN44323841_00236	55.556	49.758	-0.1414	-0.0086	5.798	-0.1328
GCF_031626855	SAMN29421124_00487	49.785	46.808	-0.1124	-0.0065	2.976	-0.1059
GCF_028308365	SAMN31135186_01584	40.067	37.659	0.0608	-0.1013	2.408	0.1621
GCF_001991035	SAMN06233883_01291	52.006	47.665	-0.0725	-0.0836	4.341	0.0111
GCF_019455965	SAMN11049618_00039	37.339	36.093	0.1111	-0.1135	1.246	0.2246
GCF_001888905	SAMN06074287_01291	55.556	49.083	-0.1483	-0.0001	6.472	-0.1481
GCF_016742795	SAMN17079223_00933	35.286	33.258	0.1579	-0.1463	2.028	0.3042
GCF_045164165	SAMN38149052_01891	43.026	39.975	0.0308	0.0147	3.051	0.0161
GCF_026184355	SAMN31523556_00109	40.353	38.112	0.058	-0.0013	2.242	0.0593
GCF_024436335	SAMN29815622_00573	34.333	33.882	0.1567	-0.094	0.452	0.2507
GCF_002762235	SAMN07339723_00524	49.976	46.377	-0.112	0.0005	3.599	-0.1125
GCF_022642225	SAMN14239245_00091	48.584	41.698	0.0321	0.0829	6.885	-0.0508
GCF_001434405	SAMN02369391_00359	40.635	39.842	0.0595	0.1038	0.793	-0.0443
GCF_002027415	SAMN06480069_00795	49.88	46.703	-0.1141	0.0798	3.177	-0.1939
GCF_044602765	SAMN44323845_00033	55.46	49.974	-0.1451	0.0171	5.486	-0.1621
GCF_022614605	SAMN22548460_02211	49.833	46.369	-0.1056	-0.0022	3.464	-0.1034
GCF_038419715	SAMN40500145_01760	49.928	46.473	-0.1054	0.0047	3.455	-0.1101
GCF_037118725	SAMN40295153_00855	51.576	47.246	-0.0704	-0.0349	4.33	-0.0355
GCF_023573545	SAMN28579545_00160	35.095	33.094	0.1777	0.0046	2.001	0.1731
GCF_031593775	SAMN37345414_01673	52.006	46.69	-0.0725	-0.0025	5.315	-0.07
GCF_041734185	SAMN43028860_01053	49.88	46.424	-0.1083	-0.0041	3.457	-0.1043
GCF_025194605	SAMN10365309_00750	39.592	38.133	0.0628	-0.0837	1.459	0.1465
GCF_028335385	SAMN23424506_02240	39.703	36.48	0.0784	0.0024	3.223	0.076
GCF_008727835	SAMN12793868_02736	52.388	46.751	-0.0757	0.0008	5.637	-0.0765
GCF_041167765	SAMN43028853_01100	49.641	46.414	-0.1137	0.0018	3.227	-0.1155
GCF_002158925	SAMN07160384_02569	52.053	46.598	-0.0734	0.0018	5.456	-0.0752
GCF_046531985	SAMN41386954_00148	34.381	33.022	0.169	0.0046	1.358	0.1643
GCF_002813615	SAMN05356834_01751	49.88	46.449	-0.1083	0.001	3.432	-0.1093
GCF_048145725	SAMN38918079_00169	55.891	50.43	-0.1448	0.0348	5.461	-0.1796
GCF_024158965	SAMN29405972_01230	49.785	46.643	-0.1124	-0.0011	3.142	-0.1113
GCF_002224505	SAMN07350659_00736	35.605	42.004	0.0625	0.0001	-6.399	0.0624
GCF_001888925	SAMN06066887_00850	55.364	50.095	-0.1488	-0.0011	5.269	-0.1477
GCF_001436705	SAMN02369475_00140	42.15	39.011	0.123	0.0495	3.139	0.0735
GCF_026239975	SAMN31699448_02079	64.32	58.427	-0.0856	-0.0359	5.893	-0.0498
GCF_029269765	SAMN33714532_01883	51.958	47.266	-0.0717	0.0886	4.692	-0.1603
GCF_009429065	SAMN13091356_00783	52.292	46.691	-0.074	-0.0004	5.601	-0.0735
GCF_034079445	SAMN38258108_01754	49.833	46.447	-0.1056	0.0006	3.386	-0.1061
GCF_025960345	SAMN31436861_00497	55.939	50.123	-0.1438	-0.0026	5.815	-0.1413
GCF_027886355	SAMN31037894_00897	49.928	46.448	-0.1073	0.0024	3.48	-0.1097
GCF_002849915	SAMN04892856_00182	35.518	36.96	0.0802	-0.0082	-1.442	0.0884
GCF_003712665	SAMN04088882_01537	49.88	46.739	-0.1103	-0.0757	3.141	-0.0346
GCF_032465975	SAMN37405142_01725	52.388	46.718	-0.0757	0.0007	5.67	-0.0764
GCF_030581835	SAMN20924980_01591	50.215	46.572	-0.1048	-0.0004	3.643	-0.1044
GCF_013377685	SAMN15340092_00050	52.006	47.751	-0.067	0.0853	4.255	-0.1524
GCF_014841055	SAMN16131617_00198	35.238	32.943	0.1514	0.0111	2.295	0.1402
GCF_048572735	SAMN46546627_00506	35.238	33.197	0.1541	-0.0025	2.041	0.1566
GCF_008016885	SAMN11812293_01504	35.333	33.864	0.1429	-0.1388	1.469	0.2817
GCF_000260335	SAMN02470767_00899	34.81	32.874	0.1546	0.1741	1.935	-0.0195
GCF_044792165	SAMN44570663_01861	43.724	40.639	0.0538	-0.0088	3.084	0.0626
GCF_015476155	SAMN16668564_01860	49.976	46.312	-0.1062	0.0002	3.665	-0.1065
GCF_045159805	SAMN13884833_01275	37.244	36.706	0.1114	0.0004	0.538	0.111
GCF_039623715	SAMN40966621_01289	37.625	36.823	0.1103	-0.0053	0.802	0.1156
GCF_032465875	SAMN37405147_01623	52.149	46.711	-0.0604	-0.0011	5.438	-0.0593
GCF_040536905	SAMN42017790_01669	49.928	46.461	-0.1034	0.0033	3.467	-0.1067
GCF_028308985	SAMN31135166_01312	40.353	37.532	0.0604	-0.0919	2.821	0.1523
GCF_041081355	SAMN42585951_01979	48.489	41.699	0.0419	-0.0079	6.791	0.0497
GCF_029925445	SAMN34247084_01608	49.88	46.463	-0.1141	-0.0029	3.417	-0.1111
GCF_029392035	SAMN31060684_00179	38.498	38.977	0.0659	0.0104	-0.479	0.0555
GCF_016742875	SAMN17079221_00123	35.19	33.773	0.1529	-0.1311	1.417	0.284
GCF_041222795	SAMN43031427_02263	38.937	35.65	0.0603	0.0056	3.287	0.0546
GCF_001702095	SAMN05417796_00379	37.387	37.035	0.1071	0.0019	0.351	0.1052
GCF_030438415	SAMN36277563_00164	53.086	43.326	0.0605	0.0017	9.761	0.0588
GCF_003573535	SAMN09878808_00265	39.464	35.647	0.0655	0.0887	3.817	-0.0231
GCF_006007945	SAMN11890478_02318	38.873	35.686	0.0516	0.005	3.186	0.0466
GCF_025946745	SAMN31308977_01887	49.976	46.408	-0.1062	0.0022	3.568	-0.1084
GCF_002706745	SAMN05913070_02342	39.589	36.436	0.0639	0.0057	3.153	0.0582
GCF_028864385	SAMN33269662_01355	34.857	33.68	0.1448	0.138	1.177	0.0068
GCF_045690285	SAMN40027080_00671	55.46	49.616	-0.1468	-0.0002	5.844	-0.1466
GCF_019443925	SAMN14650907_01183	37.339	36.968	0.106	-0.0008	0.371	0.1068
GCF_002442835	SAMN05781319_01320	49.785	46.664	-0.1124	0.0	3.12	-0.1124
GCF_033344095	SAMN38016013_00160	35.286	33.2	0.1552	0.0074	2.086	0.1478
GCF_018363055	SAMN19028092_01619	51.698	47.826	-0.0934	-0.0047	3.872	-0.0887
GCF_022614635	SAMN22548462_00347	50.072	46.344	-0.106	0.0035	3.728	-0.1095
GCF_003712295	SAMN04088859_01452	49.928	46.775	-0.1073	-0.0148	3.153	-0.0924
GCF_039654095	SAMN38984026_01601	51.815	46.756	-0.0673	-0.0006	5.059	-0.0667
GCF_015558325	SAMN15532931_00494	52.292	47.324	-0.0776	0.0223	4.968	-0.0999
GCF_003316955	SAMN08281078_01052	34.667	32.976	0.1456	0.0097	1.69	0.1359
GCF_044599125	SAMN44323863_00356	55.508	50.027	-0.1406	0.0131	5.481	-0.1538
GCF_006704185	SAMN11890406_00562	55.46	49.822	-0.1451	0.0011	5.637	-0.1461
GCF_028864445	SAMN33269651_01690	35.048	33.689	0.1576	-0.14	1.358	0.2976
