accession,biosample_id,Bioproject,Organism,Starin,Isolation_source,Source_category,Isolation_country,Collection_Date
GCA_021894365,SAMN14372569,PRJNA612438,Lactiplantibacillus plantarum,IMAU10218,plant,Environmental,China,2009
GCA_021894415,SAMN14372571,PRJNA612438,Lactiplantibacillus plantarum,IMAU10235,plant,Environmental,China,2009
GCA_021894435,SAMN14372568,PRJNA612438,Lactiplantibacillus plantarum,IMAU10217,plant,Environmental,China,2009
GCA_021894505,SAMN14372567,PRJNA612438,Lactiplantibacillus plantarum,IMAU10216,plant,Environmental,China,2009
GCA_021894775,SAMN14372550,PRJNA612438,Lactiplantibacillus plantarum,IMAU70164,plant,Environmental,China,2008
GCA_021894785,SAMN14372549,PRJNA612438,Lactiplantibacillus plantarum,IMAU80032,dairy product,Food,China,2004
GCA_021894855,SAMN14372600,PRJNA612438,Lactiplantibacillus plantarum,IMAU30118,dairy product,Food,China,2004
GCA_023563625,SAMN28229336,PRJNA837731,Ligilactobacillus agilis,C7,Piglet feces,Feces,South Korea,2021-04
GCA_028577605,SAMN17155241,PRJNA686682,Lacticaseibacillus rhamnosus,10-R-7-1,mammary gland,Clinical,China,2020
GCA_028577775,SAMN17155240,PRJNA686682,Lacticaseibacillus rhamnosus,10-R-6,mammary gland,Clinical,China,2020
GCA_028577805,SAMN17155242,PRJNA686682,Lacticaseibacillus rhamnosus,11-C-10-2,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028577845,SAMN17155291,PRJNA686682,Lacticaseibacillus rhamnosus,SR1-1-2,mammary gland,Clinical,China,2020
GCA_028577915,SAMN17155290,PRJNA686682,Lacticaseibacillus rhamnosus,SC9-7-3,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028577955,SAMN17155289,PRJNA686682,Lacticaseibacillus rhamnosus,SC9-6-3,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028577995,SAMN17155287,PRJNA686682,Lacticaseibacillus rhamnosus,SC8-8-3,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578125,SAMN17155282,PRJNA686682,Lacticaseibacillus rhamnosus,SC8-1-1,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578155,SAMN17155280,PRJNA686682,Lacticaseibacillus rhamnosus,SC7-8-3,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578165,SAMN17155283,PRJNA686682,Lacticaseibacillus rhamnosus,SC8-2-2,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578215,SAMN17155279,PRJNA686682,Lacticaseibacillus rhamnosus,SC7-4-1,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578235,SAMN17155277,PRJNA686682,Lacticaseibacillus rhamnosus,SC5-9-2,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578315,SAMN17155276,PRJNA686682,Lacticaseibacillus rhamnosus,SC5-8-3,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578325,SAMN17155271,PRJNA686682,Lacticaseibacillus rhamnosus,SC4-4-1,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578335,SAMN17155270,PRJNA686682,Lacticaseibacillus rhamnosus,SC4-2-3,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578365,SAMN17155275,PRJNA686682,Lacticaseibacillus rhamnosus,SC5-4-2,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578395,SAMN17155269,PRJNA686682,Lacticaseibacillus rhamnosus,SC4-1-2,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578415,SAMN17155266,PRJNA686682,Lacticaseibacillus rhamnosus,SC3-5-2,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578425,SAMN17155265,PRJNA686682,Lacticaseibacillus rhamnosus,SC3-3-3,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578455,SAMN17155268,PRJNA686682,Lacticaseibacillus rhamnosus,SC3-9-1,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578465,SAMN17155263,PRJNA686682,Lacticaseibacillus rhamnosus,SC3-10-1,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578495,SAMN17155267,PRJNA686682,Lacticaseibacillus rhamnosus,SC3-8-2,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578515,SAMN17155261,PRJNA686682,Lacticaseibacillus rhamnosus,SC2-7-3,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578535,SAMN17155264,PRJNA686682,Lacticaseibacillus rhamnosus,SC3-2-2,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578555,SAMN17155262,PRJNA686682,Lacticaseibacillus rhamnosus,SC2-8-2,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578565,SAMN17155257,PRJNA686682,Lacticaseibacillus rhamnosus,SC1-3-2,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578625,SAMN17155256,PRJNA686682,Lacticaseibacillus rhamnosus,SC1-2-2,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578655,SAMN17155253,PRJNA686682,Lacticaseibacillus rhamnosus,12-R-2,mammary gland,Clinical,China,2020
GCA_028578675,SAMN17155258,PRJNA686682,Lacticaseibacillus rhamnosus,SC1-8-2,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578695,SAMN17155251,PRJNA686682,Lacticaseibacillus rhamnosus,12-C-6-2,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578705,SAMN17155249,PRJNA686682,Lacticaseibacillus rhamnosus,11-R-8,mammary gland,Clinical,China,2020
GCA_028578735,SAMN17155252,PRJNA686682,Lacticaseibacillus rhamnosus,12-C-7-3,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578745,SAMN17155250,PRJNA686682,Lacticaseibacillus rhamnosus,12-C-1-2,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578775,SAMN17155247,PRJNA686682,Lacticaseibacillus rhamnosus,11-R-4-3,mammary gland,Clinical,China,2020
GCA_028578815,SAMN17155246,PRJNA686682,Lacticaseibacillus rhamnosus,11-R-4,mammary gland,Clinical,China,2020
GCA_028578835,SAMN17155243,PRJNA686682,Lacticaseibacillus rhamnosus,11-C-9-2,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028578855,SAMN17155244,PRJNA686682,Lacticaseibacillus rhamnosus,11-R-1-2,mammary gland,Clinical,China,2020
GCA_028578875,SAMN17155245,PRJNA686682,Lacticaseibacillus rhamnosus,11-R-2,mammary gland,Clinical,China,2020
GCA_028578885,SAMN17155320,PRJNA686682,Lacticaseibacillus rhamnosus,SR9-4,mammary gland,Clinical,China,2020
GCA_028578945,SAMN17155319,PRJNA686682,Lacticaseibacillus rhamnosus,SR9-2,mammary gland,Clinical,China,2020
GCA_028578955,SAMN17155318,PRJNA686682,Lacticaseibacillus rhamnosus,SR9-1-3,mammary gland,Clinical,China,2020
GCA_028578995,SAMN17155316,PRJNA686682,Lacticaseibacillus rhamnosus,SR7-7,mammary gland,Clinical,China,2020
GCA_028579055,SAMN17155313,PRJNA686682,Lacticaseibacillus rhamnosus,SR7-1-2,mammary gland,Clinical,China,2020
GCA_028579065,SAMN17155310,PRJNA686682,Lacticaseibacillus rhamnosus,SR6-5,mammary gland,Clinical,China,2020
GCA_028579075,SAMN17155314,PRJNA686682,Lacticaseibacillus rhamnosus,SR7-2,mammary gland,Clinical,China,2020
GCA_028579145,SAMN17155305,PRJNA686682,Lacticaseibacillus rhamnosus,SR5-5,mammary gland,Clinical,China,2020
GCA_028579195,SAMN17155307,PRJNA686682,Lacticaseibacillus rhamnosus,SR5-9,mammary gland,Clinical,China,2020
GCA_028579205,SAMN17155303,PRJNA686682,Lacticaseibacillus rhamnosus,SR4-8,mammary gland,Clinical,China,2020
GCA_028579215,SAMN17155308,PRJNA686682,Lacticaseibacillus rhamnosus,SR6-1,mammary gland,Clinical,China,2020
GCA_028579255,SAMN17155302,PRJNA686682,Lacticaseibacillus rhamnosus,SR4-4,mammary gland,Clinical,China,2020
GCA_028579275,SAMN17155299,PRJNA686682,Lacticaseibacillus rhamnosus,SR2-8,mammary gland,Clinical,China,2020
GCA_028579315,SAMN17155297,PRJNA686682,Lacticaseibacillus rhamnosus,SR2-3,mammary gland,Clinical,China,2020
GCA_028579325,SAMN17155300,PRJNA686682,Lacticaseibacillus rhamnosus,SR3-2,mammary gland,Clinical,China,2020
GCA_028579375,SAMN17155298,PRJNA686682,Lacticaseibacillus rhamnosus,SR2-7,mammary gland,Clinical,China,2020
GCA_028579395,SAMN17155296,PRJNA686682,Lacticaseibacillus rhamnosus,SR1-7,mammary gland,Clinical,China,2020
GCA_028579415,SAMN17155292,PRJNA686682,Lacticaseibacillus rhamnosus,SR1-2,mammary gland,Clinical,China,2020
GCA_028579435,SAMN17155295,PRJNA686682,Lacticaseibacillus rhamnosus,SR1-6-1,mammary gland,Clinical,China,2020
GCA_028579445,SAMN17155357,PRJNA686682,Lacticaseibacillus rhamnosus,M9-35SC4-4-1,mammary gland,Clinical,China,2020
GCA_028579465,SAMN17155294,PRJNA686682,Lacticaseibacillus rhamnosus,SR1-4,mammary gland,Clinical,China,2020
GCA_028579485,SAMN17155293,PRJNA686682,Lacticaseibacillus rhamnosus,SR1-3,mammary gland,Clinical,China,2020
GCA_028579515,SAMN17155356,PRJNA686682,Lacticaseibacillus rhamnosus,M9-34SC4-2-3,mammary gland,Clinical,China,2020
GCA_028579555,SAMN17155355,PRJNA686682,Lacticaseibacillus rhamnosus,M9-33SC4-1-2,mammary gland,Clinical,China,2020
GCA_028579565,SAMN17155353,PRJNA686682,Lacticaseibacillus rhamnosus,M9-31SC3-8-2,mammary gland,Clinical,China,2020
GCA_028579605,SAMN17155350,PRJNA686682,Lacticaseibacillus rhamnosus,M9-28SC3-2-2,mammary gland,Clinical,China,2020
GCA_028579635,SAMN17155349,PRJNA686682,Lacticaseibacillus rhamnosus,M9-27SC3-10-1,mammary gland,Clinical,China,2020
GCA_028579655,SAMN17155352,PRJNA686682,Lacticaseibacillus rhamnosus,M9-30SC3-5-2,mammary gland,Clinical,China,2020
GCA_028579665,SAMN17155347,PRJNA686682,Lacticaseibacillus rhamnosus,M9-25SC2-7-3,mammary gland,Clinical,China,2020
GCA_028579695,SAMN17155348,PRJNA686682,Lacticaseibacillus rhamnosus,M9-26SC2-8-2,mammary gland,Clinical,China,2020
GCA_028579735,SAMN17155345,PRJNA686682,Lacticaseibacillus rhamnosus,M9-23SC2-1-2,mammary gland,Clinical,China,2020
GCA_028579755,SAMN17155343,PRJNA686682,Lacticaseibacillus rhamnosus,M9-21SC1-3-2,mammary gland,Clinical,China,2020
GCA_028579765,SAMN17155342,PRJNA686682,Lacticaseibacillus rhamnosus,M9-20SC1-2-2,mammary gland,Clinical,China,2020
GCA_028579795,SAMN17155339,PRJNA686682,Lacticaseibacillus rhamnosus,M9-1712-R-2,mammary gland,Clinical,China,2020
GCA_028579805,SAMN17155341,PRJNA686682,Lacticaseibacillus rhamnosus,M9-19SC1-1-3,mammary gland,Clinical,China,2020
GCA_028579875,SAMN17155335,PRJNA686682,Lacticaseibacillus rhamnosus,M9-1311-R-8,mammary gland,Clinical,China,2020
GCA_028579885,SAMN17155340,PRJNA686682,Lacticaseibacillus rhamnosus,M9-1812-R-6,mammary gland,Clinical,China,2020
GCA_028579905,SAMN17155334,PRJNA686682,Lacticaseibacillus rhamnosus,M9-1211-R-7,mammary gland,Clinical,China,2020
GCA_028579915,SAMN17155337,PRJNA686682,Lacticaseibacillus rhamnosus,M9-1512-C-6-2,mammary gland,Clinical,China,2020
GCA_028579955,SAMN17155336,PRJNA686682,Lacticaseibacillus rhamnosus,M9-1412-C-1-2,mammary gland,Clinical,China,2020
GCA_028579975,SAMN17155333,PRJNA686682,Lacticaseibacillus rhamnosus,M9-1111-R-4-3,mammary gland,Clinical,China,2020
GCA_028579985,SAMN17155332,PRJNA686682,Lacticaseibacillus rhamnosus,M9-1011-R-4,mammary gland,Clinical,China,2020
GCA_028580015,SAMN17155331,PRJNA686682,Lacticaseibacillus rhamnosus,M9-911-R-2,mammary gland,Clinical,China,2020
GCA_028580035,SAMN17155329,PRJNA686682,Lacticaseibacillus rhamnosus,M9-711-C-9-2,mammary gland,Clinical,China,2020
GCA_028580055,SAMN17155328,PRJNA686682,Lacticaseibacillus rhamnosus,M9-611-C-10-2,mammary gland,Clinical,China,2020
GCA_028580065,SAMN17155327,PRJNA686682,Lacticaseibacillus rhamnosus,M9-510-R-7-1,mammary gland,Clinical,China,2020
GCA_028580135,SAMN17155330,PRJNA686682,Lacticaseibacillus rhamnosus,M9-811-R-1-2,mammary gland,Clinical,China,2020
GCA_028580145,SAMN17155324,PRJNA686682,Lacticaseibacillus rhamnosus,M9-210-C-6-2,mammary gland,Clinical,China,2020
GCA_028580175,SAMN17155323,PRJNA686682,Lacticaseibacillus rhamnosus,M9-110-C-5-3,mammary gland,Clinical,China,2020
GCA_028580195,SAMN17155322,PRJNA686682,Lacticaseibacillus rhamnosus,M9-1,mammary gland,Clinical,China,2020
GCA_028580215,SAMN17155286,PRJNA686682,Lacticaseibacillus rhamnosus,SC8-5-2,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028580225,SAMN17155274,PRJNA686682,Lacticaseibacillus rhamnosus,SC5-3-3,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028580245,SAMN17155255,PRJNA686682,Lacticaseibacillus rhamnosus,SC1-1-3,nodi lymphatici mesenterici,Clinical,China,2020
GCA_028581575,SAMN17155254,PRJNA686682,Lacticaseibacillus rhamnosus,12-R-6,mammary gland,Clinical,China,2020
GCA_030337555,SAMN31248001,PRJNA889467,Lacticaseibacillus rhamnosus,SG-R7970-17,breast milk,Food,China,2020
GCA_030337585,SAMN31247887,PRJNA889467,Lacticaseibacillus rhamnosus,HA-R7970-3,breast milk,Food,China,2020
GCA_030337615,SAMN31247999,PRJNA889467,Lacticaseibacillus rhamnosus,SG-R7970-15,breast milk,Food,China,2020
GCA_030337645,SAMN31247995,PRJNA889467,Lacticaseibacillus rhamnosus,SG-R7970-11,breast milk,Food,China,2020
GCA_030337655,SAMN31247997,PRJNA889467,Lacticaseibacillus rhamnosus,SG-R7970-13,breast milk,Food,China,2020
GCA_030337665,SAMN31247996,PRJNA889467,Lacticaseibacillus rhamnosus,SG-R7970-12,breast milk,Food,China,2020
GCA_030337675,SAMN31247994,PRJNA889467,Lacticaseibacillus rhamnosus,SG-R7970-10,breast milk,Food,China,2020
GCA_030337725,SAMN31247998,PRJNA889467,Lacticaseibacillus rhamnosus,SG-R7970-14,breast milk,Food,China,2020
GCA_030337745,SAMN31247993,PRJNA889467,Lacticaseibacillus rhamnosus,SG-R7970-9,breast milk,Food,China,2020
GCA_030337765,SAMN31247992,PRJNA889467,Lacticaseibacillus rhamnosus,SG-R7970-8,breast milk,Food,China,2020
GCA_030337775,SAMN31247987,PRJNA889467,Lacticaseibacillus rhamnosus,SG-R7970-3,breast milk,Food,China,2020
GCA_030337785,SAMN31247988,PRJNA889467,Lacticaseibacillus rhamnosus,SG-R7970-4,breast milk,Food,China,2020
GCA_030337795,SAMN31247991,PRJNA889467,Lacticaseibacillus rhamnosus,SG-R7970-7,breast milk,Food,China,2020
GCA_030337845,SAMN31247986,PRJNA889467,Lacticaseibacillus rhamnosus,SG-R7970-2,breast milk,Food,China,2020
GCA_030337865,SAMN31247985,PRJNA889467,Lacticaseibacillus rhamnosus,SG-R7970-1,breast milk,Food,China,2020
GCA_030337885,SAMN31247983,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-49,breast milk,Food,China,2020
GCA_030337895,SAMN31247982,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-48,breast milk,Food,China,2020
GCA_030337905,SAMN31247984,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-50,breast milk,Food,China,2020
GCA_030337945,SAMN31247980,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-46,breast milk,Food,China,2020
GCA_030337965,SAMN31247978,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-44,breast milk,Food,China,2020
GCA_030337975,SAMN31247979,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-45,breast milk,Food,China,2020
GCA_030338015,SAMN31247977,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-43,breast milk,Food,China,2020
GCA_030338025,SAMN31247981,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-47,breast milk,Food,China,2020
GCA_030338065,SAMN31247975,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-41,breast milk,Food,China,2020
GCA_030338075,SAMN31247974,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-40,breast milk,Food,China,2020
GCA_030338085,SAMN31247973,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-39,breast milk,Food,China,2020
GCA_030338125,SAMN31247972,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-38,breast milk,Food,China,2020
GCA_030338135,SAMN31247971,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-37,breast milk,Food,China,2020
GCA_030338165,SAMN31247970,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-36,breast milk,Food,China,2020
GCA_030338185,SAMN31247967,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-33,breast milk,Food,China,2020
GCA_030338195,SAMN31247969,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-35,breast milk,Food,China,2020
GCA_030338205,SAMN31247966,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-32,breast milk,Food,China,2020
GCA_030338245,SAMN31247968,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-34,breast milk,Food,China,2020
GCA_030338285,SAMN31247963,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-29,breast milk,Food,China,2020
GCA_030338315,SAMN31247964,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-30,breast milk,Food,China,2020
GCA_030338335,SAMN31247961,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-27,breast milk,Food,China,2020
GCA_030338345,SAMN31247960,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-26,breast milk,Food,China,2020
GCA_030338385,SAMN31247958,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-24,breast milk,Food,China,2020
GCA_030338395,SAMN31247957,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-23,breast milk,Food,China,2020
GCA_030338405,SAMN31247955,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-21,breast milk,Food,China,2020
GCA_030338445,SAMN31247956,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-22,breast milk,Food,China,2020
GCA_030338465,SAMN31247954,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-20,breast milk,Food,China,2020
GCA_030338485,SAMN31247959,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-25,breast milk,Food,China,2020
GCA_030338515,SAMN31247953,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-19,breast milk,Food,China,2020
GCA_030338555,SAMN31247950,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-16,breast milk,Food,China,2020
GCA_030338625,SAMN31247947,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-13,breast milk,Food,China,2020
GCA_030338635,SAMN31247946,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-12,breast milk,Food,China,2020
GCA_030338645,SAMN31247944,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-10,breast milk,Food,China,2020
GCA_030338675,SAMN31247943,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-9,breast milk,Food,China,2020
GCA_030338725,SAMN31247942,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-8,breast milk,Food,China,2020
GCA_030338745,SAMN31247938,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-4,breast milk,Food,China,2020
GCA_030338755,SAMN31247941,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-7,breast milk,Food,China,2020
GCA_030338765,SAMN31247939,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-5,breast milk,Food,China,2020
GCA_030338825,SAMN31247937,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-3,breast milk,Food,China,2020
GCA_030338845,SAMN31247936,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-2,breast milk,Food,China,2020
GCA_030338855,SAMN31247934,PRJNA889467,Lacticaseibacillus rhamnosus,HA-R7970-50,breast milk,Food,China,2020
GCA_030338875,SAMN31247933,PRJNA889467,Lacticaseibacillus rhamnosus,HA-R7970-49,breast milk,Food,China,2020
GCA_030338905,SAMN31247932,PRJNA889467,Lacticaseibacillus rhamnosus,HA-R7970-48,breast milk,Food,China,2020
GCA_030338925,SAMN31247935,PRJNA889467,Lacticaseibacillus rhamnosus,HG-R7970-1,breast milk,Food,China,2020
