Genome,Country,Date,adc,hdc,agmatinase,odc,tdc
SAMEA104285101,NA,1990,0,0,0,0,0
SAMN02469945,France,1990,0,0,0,0,0
SAMN04088878,Switzerland,1990,0,0,0,1,0
SAMN04088879,Switzerland,1990,0,0,0,1,0
SAMN04088888,Switzerland,1990,0,0,0,1,0
SAMN09642035,Germany,1990,0,0,0,1,0
SAMN10365293,NA,1990,0,0,0,1,0
SAMN10365294,NA,1990,0,0,0,1,0
SAMN10365295,NA,1990,0,0,0,1,0
SAMN10365296,NA,1990,0,0,0,1,0
SAMN10365307,NA,1990,0,0,0,1,0
SAMN10365561,France,1990,0,0,0,0,0
SAMN10365562,France,1990,0,0,0,0,0
SAMN10365564,France,1990,0,0,0,0,0
SAMN10365568,France,1990,0,0,0,0,0
SAMN13008343,Switzerland,1990,0,0,0,0,0
SAMN15676315,Sweden,1990,0,0,0,0,0
SAMN37405142,United Kingdom,1990,0,0,0,1,0
SAMN37405147,United Kingdom,1990,0,0,0,1,0
SAMN05417795,Russia,1991,0,0,0,1,0
SAMN05417796,Russia,1991,0,0,0,1,0
SAMN35741683,Switzerland,1991,0,0,0,0,1
SAMN10174878,Nigeria,1992,0,0,0,0,0
SAMN10365300,USA,1992,0,0,0,1,0
SAMN10365446,NA,1993,0,0,0,1,0
SAMN10365447,NA,1993,0,0,0,1,0
SAMN10365593,Algeria,1993,0,0,0,0,0
SAMN15082156,Argentina,1993,0,0,0,1,0
SAMN37405145,Belgium,1993,0,0,0,1,0
SAMN21157785,Greece,1994,0,0,0,0,0
SAMN04088889,Switzerland,1995,0,0,0,1,0
SAMN10365225,France,1995,0,0,0,0,0
SAMN10365226,France,1995,0,0,0,0,0
SAMN10365227,France,1995,0,0,0,0,0
SAMN10365228,France,1995,0,0,0,0,0
SAMN10365234,France,1995,0,0,0,0,0
SAMN10365235,France,1995,0,0,0,0,0
SAMN10365236,France,1995,0,0,0,0,0
SAMN10365237,France,1995,0,0,0,0,1
SAMN10365238,France,1995,0,0,0,0,0
SAMN10365239,France,1995,0,0,0,0,0
SAMN10365240,France,1995,0,0,0,0,0
SAMN10365241,France,1995,0,0,0,0,0
SAMN10365244,France,1995,0,0,0,0,0
SAMN10365245,France,1995,0,0,0,0,0
SAMN10365246,France,1995,0,0,0,0,0
SAMN10365441,France,1995,0,0,0,1,0
SAMN10365569,France,1995,0,0,0,0,0
SAMN02369509,NA,1996,0,0,0,0,0
SAMN03275719,USA,1996,0,0,0,0,0
SAMN04088882,Switzerland,1996,0,0,0,1,0
SAMN10365298,USA,1996,0,0,0,1,0
SAMN10365301,France,1996,0,0,0,1,0
SAMN10365302,France,1996,0,0,0,1,0
SAMN12871419,Thailand,1997,0,0,0,0,0
SAMN28648818,Belarus,1997,0,0,0,1,0
SAMN37405138,Belgium,1997,0,0,0,1,0
SAMN02840984,Germany,1998,0,0,0,0,0
SAMN02869572,Germany,1998,0,0,0,0,0
SAMN05949208,Australia,1998,0,0,0,1,0
SAMN37405139,Belgium,1998,0,0,0,1,0
SAMN39639084,Italy,1998,0,0,0,0,0
SAMN39639085,Italy,1998,0,1,0,0,0
SAMN39639086,Italy,1998,0,0,0,1,0
SAMN02369437,Spain,1999,0,0,0,0,0
SAMN02369457,South Korea,1999,0,0,0,0,0
SAMN05196003,Japan,1999,0,0,0,0,0
SAMN10365573,France,1999,0,0,0,0,0
SAMN10365574,France,1999,0,0,0,0,0
SAMN10365575,France,1999,0,0,0,0,0
SAMN13006689,Germany,1999,0,0,0,0,0
SAMN37405140,Denmark,1999,0,0,0,1,0
SAMN37405143,Denmark,1999,0,0,0,1,0
SAMN37405144,Denmark,1999,0,0,0,1,0
SAMD00466802,Japan,2000,0,0,0,0,1
SAMN03290703,Norway,2000,0,0,0,0,0
SAMN32530372,Indonesia,2000,0,0,0,0,0
SAMN36426612,Serbia,2000,0,0,0,0,0
SAMN43804378,Sweden,2000,0,0,0,0,0
SAMEA5671947,Spain,2001,0,0,0,1,0
SAMN10365303,France,2001,0,0,0,1,0
SAMN10365444,France,2001,0,0,0,1,0
SAMN10365514,France,2001,0,0,0,1,0
SAMN15749032,Bulgaria,2001,0,0,0,1,0
SAMN23828335,Bulgaria,2001,0,0,0,0,1
SAMEA114390976,Belgium,2002,0,0,0,0,0
SAMN02369410,NA,2002,0,1,0,0,0
SAMN02900023,France,2002,0,0,0,0,0
SAMN03274004,USA,2002,0,0,0,1,0
SAMN04198273,South Korea,2002,0,0,0,0,0
SAMN02369386,Germany,2003,0,0,0,1,0
SAMN02689810,Italy,2003,0,0,0,0,0
SAMN03121841,Japan,2003,0,0,0,0,0
SAMN03121843,Japan,2003,0,0,0,0,0
SAMN04088859,Switzerland,2003,0,0,0,1,0
SAMN04088860,Switzerland,2003,0,0,0,1,0
SAMN04088862,Switzerland,2003,0,0,0,1,0
SAMN04088866,Switzerland,2003,0,0,0,1,0
SAMN04088867,Switzerland,2003,0,0,0,1,0
SAMN04088873,Switzerland,2003,0,0,0,1,0
SAMN07350659,Switzerland,2003,0,0,0,1,1
SAMN07414780,South Korea,2003,0,0,0,0,0
SAMN10365669,NA,2003,0,0,0,1,0
SAMN14372590,Mongolia,2003,0,0,0,0,0
SAMN21246291,South Korea,2003,0,0,0,0,0
SAMEA5673845,Spain,2004,0,0,0,1,0
SAMN04251328,Norway,2004,0,0,0,0,0
SAMN04404358,Kenya,2004,0,0,0,1,0
SAMN14372549,China,2004,0,0,0,0,0
SAMN14372597,China,2004,0,0,0,0,0
SAMN14372598,China,2004,0,0,0,0,0
SAMN14372600,China,2004,0,0,0,0,0
SAMN14372601,China,2004,0,0,0,0,0
SAMN14372670,China,2004,0,0,0,0,0
SAMN14944482,Portugal,2004,0,0,0,0,0
SAMN15795379,China,2004,0,0,0,0,0
SAMN19292101,Poland,2004,0,0,0,0,1
SAMN02584770,China,2005,0,0,0,1,0
SAMN03463665,Italy,2005,0,0,0,0,0
SAMN03729540,Finland,2005,0,0,0,1,0
SAMN05357477,China,2005,0,0,0,1,0
SAMN06196449,Poland,2005,0,0,0,1,0
SAMN08195363,China,2005,0,0,0,1,0
SAMN10365135,Mali,2005,0,0,0,0,0
SAMN10365152,Mali,2005,0,0,0,0,0
SAMN10365153,Mali,2005,0,0,0,0,0
SAMN10365156,Cote d'Ivoire,2005,0,0,0,0,0
SAMN10365158,Cote d'Ivoire,2005,0,0,0,0,0
SAMN10365672,NA,2005,0,0,0,0,0
SAMN14372606,China,2005,0,0,0,0,0
SAMN14372608,China,2005,0,0,0,0,0
SAMN14372609,China,2005,0,0,0,0,0
SAMN14372610,China,2005,0,0,0,0,0
SAMN14372612,China,2005,0,0,0,0,0
SAMN14372613,China,2005,0,0,0,0,0
SAMN14372669,China,2005,0,0,0,0,0
SAMN18236778,South Korea,2005,0,0,0,1,0
SAMN21845659,NA,2005,0,0,0,0,0
SAMN30429012,China,2005,0,0,0,0,0
SAMN30429013,China,2005,0,0,0,0,0
SAMN30429014,China,2005,0,0,0,0,0
SAMN30429015,China,2005,0,0,0,0,0
SAMN30429017,China,2005,0,0,0,0,0
SAMN30429018,China,2005,0,0,0,0,0
SAMN30429019,China,2005,0,0,0,0,0
SAMN30429020,China,2005,0,0,0,0,0
SAMN30429021,China,2005,0,0,0,0,0
SAMN30429022,China,2005,0,0,0,0,0
SAMN30429023,China,2005,0,0,0,0,0
SAMN30429025,China,2005,0,0,0,0,0
SAMN30429026,China,2005,0,0,0,0,0
SAMN35073551,South Korea,2005,0,0,0,0,0
SAMN36380979,Argentina,2005,0,0,0,0,1
SAMN37405146,NA,2005,0,0,0,1,0
SAMN38726256,Bulgaria,2005,0,0,0,0,0
SAMN02369391,Japan,2006,0,0,0,1,0
SAMN10365145,Cote d'Ivoire,2006,0,0,0,0,0
SAMN10365146,Cote d'Ivoire,2006,0,0,0,0,0
SAMN10365147,Cote d'Ivoire,2006,0,0,0,0,0
SAMN10365148,Cote d'Ivoire,2006,0,0,0,0,0
SAMN10365150,Cote d'Ivoire,2006,0,0,0,0,0
SAMN10365161,Cote d'Ivoire,2006,0,0,0,0,0
SAMN10365162,Cote d'Ivoire,2006,0,0,0,0,0
SAMN10365165,Cote d'Ivoire,2006,0,0,0,0,0
SAMN13008385,Switzerland,2006,0,0,0,0,0
SAMN14372592,Mongolia,2006,0,0,0,0,0
SAMN16675132,Switzerland,2006,0,0,0,0,0
SAMN16675133,Switzerland,2006,0,0,0,0,0
SAMN18521540,Taiwan,2006,0,0,0,0,0
SAMN19924352,Peru,2006,0,0,0,0,0
SAMN21845650,NA,2006,0,0,0,0,0
SAMN43010927,Denmark,2006,0,0,0,0,1
SAMN02369442,Japan,2007,0,0,0,0,0
SAMN02369479,Thailand,2007,0,0,0,1,0
SAMN08009703,China,2007,0,0,0,0,1
SAMN10365154,Kenya,2007,0,0,0,0,0
SAMN10365155,Somalia,2007,0,0,0,0,0
SAMN10365159,Kenya,2007,0,0,0,0,0
SAMN10365570,Algeria,2007,0,0,0,0,0
SAMN11896630,China,2007,0,0,0,1,0
SAMN13006690,Italy,2007,0,0,0,0,0
SAMN13008348,Switzerland,2007,0,0,0,0,0
SAMN14372614,China,2007,0,0,0,0,0
SAMN14372615,China,2007,0,0,0,0,0
SAMN14372616,China,2007,0,0,0,0,0
SAMN17975732,Taiwan,2007,0,0,0,0,0
SAMN21232955,Botswana,2007,0,0,0,0,0
SAMN28808989,Germany,2007,0,0,0,0,0
SAMN41162752,Slovakia,2007,0,0,0,0,0
SAMN42651620,USA,2007,0,0,0,0,0
SAMEA104285099,NA,2008,0,0,0,0,0
SAMEA114249613,Belgium,2008,0,0,0,1,0
SAMEA114249614,Belgium,2008,0,0,0,1,0
SAMEA114249616,Belgium,2008,0,0,0,1,0
SAMEA114249617,Belgium,2008,0,0,0,1,0
SAMEA114390977,Belgium,2008,0,0,0,0,0
SAMN02904288,France,2008,0,0,0,0,0
SAMN03278695,Viet Nam,2008,0,0,0,0,0
SAMN04445749,Viet Nam,2008,0,0,0,0,0
SAMN11638128,NA,2008,0,0,0,1,0
SAMN11638139,NA,2008,0,0,0,1,0
SAMN13241836,New Zealand,2008,0,0,0,0,0
SAMN13639333,New Zealand,2008,0,0,0,0,0
SAMN14372550,China,2008,0,0,0,0,0
SAMN14372622,China,2008,0,0,0,0,0
SAMN14372623,China,2008,0,0,0,0,0
SAMN14372624,China,2008,0,0,0,0,0
SAMN14372625,China,2008,0,0,0,0,0
SAMN14372627,China,2008,0,0,0,0,0
SAMN14372628,China,2008,0,0,0,0,0
SAMN14372629,China,2008,0,0,0,0,0
SAMN14372630,China,2008,0,0,0,0,0
SAMN14372631,China,2008,0,0,0,0,0
SAMN14372632,China,2008,0,0,0,0,0
SAMN14372633,China,2008,0,0,0,0,0
SAMN14372635,China,2008,0,0,0,0,0
SAMN14372637,China,2008,0,0,0,0,0
SAMN14372638,China,2008,0,0,0,0,0
SAMN14372642,China,2008,0,0,0,0,0
SAMN14372643,China,2008,0,0,0,0,0
SAMN14372644,China,2008,0,0,0,0,0
SAMN14372646,China,2008,0,0,0,0,0
SAMN14372650,China,2008,0,0,0,0,0
SAMN14372651,China,2008,0,0,0,0,0
SAMN14372652,China,2008,0,0,0,0,0
SAMN14372656,China,2008,0,0,0,0,0
SAMN14372658,China,2008,0,0,0,0,0
SAMN14372659,China,2008,0,0,0,0,0
SAMN14372668,China,2008,0,0,0,0,0
SAMN15795378,China,2008,0,0,0,0,0
SAMN16675134,Switzerland,2008,0,0,0,0,0
SAMN19292102,Poland,2008,0,0,0,0,1
SAMN21845652,NA,2008,0,0,0,0,0
SAMEA104285092,NA,2009,0,0,0,0,0
SAMN02369463,Japan,2009,0,0,0,0,0
SAMN02369465,Japan,2009,0,0,0,0,0
SAMN02369475,Japan,2009,0,0,0,1,0
SAMN02469715,NA,2009,0,0,0,1,0
SAMN02904290,France,2009,0,0,0,0,0
SAMN03769466,Finland,2009,0,0,0,1,0
SAMN08009700,China,2009,0,0,0,0,1
SAMN08009706,China,2009,0,0,0,0,1
SAMN08009707,China,2009,0,0,0,0,1
SAMN09667219,South Korea,2009,0,0,0,0,0
SAMN13520994,Russia,2009,0,0,0,0,0
SAMN14372567,China,2009,0,0,0,0,0
SAMN14372568,China,2009,0,0,0,0,0
SAMN14372569,China,2009,0,0,0,0,0
SAMN14372570,China,2009,0,0,0,0,0
SAMN14372571,China,2009,0,0,0,0,0
SAMN14372572,China,2009,0,0,0,0,0
SAMN14372573,China,2009,0,0,0,0,0
SAMN14372574,China,2009,0,0,0,0,0
SAMN14372579,China,2009,0,0,0,0,0
SAMN14372585,China,2009,0,0,0,0,0
SAMN14372586,China,2009,0,0,0,0,0
SAMN14372662,China,2009,0,0,0,0,0
SAMN14372666,China,2009,0,0,0,0,0
SAMN14541405,India,2009,0,0,0,0,0
SAMN14541407,India,2009,0,0,0,0,0
SAMN18679498,China,2009,0,0,0,1,0
SAMN21227964,Germany,2009,0,0,0,0,0
SAMN21845655,NA,2009,0,0,0,0,0
SAMN29421123,Italy,2009,0,0,0,1,0
SAMN03032191,Mexico,2010,0,0,0,0,0
SAMN03766173,Russia,2010,0,0,0,1,0
SAMN05645833,China,2010,0,0,0,0,0
SAMN05645834,China,2010,0,0,0,0,0
SAMN05645835,China,2010,0,0,0,0,0
SAMN05645836,China,2010,0,0,0,0,0
SAMN05645837,China,2010,0,0,0,0,0
SAMN05645838,China,2010,0,0,0,0,0
SAMN05645839,China,2010,0,0,0,0,0
SAMN05645840,China,2010,0,0,0,0,0
SAMN05645841,China,2010,0,0,0,0,0
SAMN05645842,China,2010,0,0,0,0,0
SAMN05645843,China,2010,0,0,0,0,0
SAMN05645844,China,2010,0,0,0,0,0
SAMN05645845,China,2010,0,0,0,0,0
SAMN05645846,China,2010,0,0,0,0,0
SAMN05645847,China,2010,0,0,0,0,0
SAMN05645848,China,2010,0,0,0,0,0
SAMN05645849,China,2010,0,0,0,0,0
SAMN05645850,China,2010,0,0,0,0,0
SAMN06703219,Malaysia,2010,0,0,0,0,0
SAMN07192734,Italy,2010,0,0,0,0,0
SAMN07760023,China,2010,0,0,0,0,0
SAMN08574375,India,2010,0,0,0,0,0
SAMN09829204,Australia,2010,0,0,0,0,0
SAMN09829205,Australia,2010,0,0,0,0,0
SAMN09829206,Australia,2010,0,0,0,0,0
SAMN09829207,Australia,2010,0,0,0,0,0
SAMN09829208,Australia,2010,0,0,0,0,0
SAMN09829212,Australia,2010,0,0,0,0,0
SAMN09829213,Australia,2010,0,0,0,0,0
SAMN09829214,Australia,2010,0,0,0,0,0
SAMN09829215,Australia,2010,0,0,0,0,0
SAMN11431368,Pakistan,2010,0,0,0,0,0
SAMN14342838,Germany,2010,0,0,0,0,0
SAMN14342905,Germany,2010,0,0,0,0,0
SAMN14750817,South Korea,2010,0,0,0,0,0
SAMN21845657,NA,2010,0,0,0,0,0
SAMN21845662,NA,2010,0,0,0,0,0
SAMN29681720,Norway,2010,0,0,0,0,1
SAMN34153834,China,2010,0,0,0,0,0
SAMN41628484,Australia,2010,0,0,0,0,0
SAMEA5333484,Argentina,2011,0,0,0,0,0
SAMEA5343125,Argentina,2011,0,0,0,0,0
SAMN02298727,Russia,2011,0,0,0,0,0
SAMN02314197,Russia,2011,0,0,0,0,0
SAMN02369446,Japan,2011,0,0,0,0,0
SAMN03272560,Russia,2011,0,0,0,0,0
SAMN03656739,China,2011,0,0,0,0,0
SAMN07701376,China,2011,0,0,0,0,0
SAMN07701459,China,2011,0,0,0,0,0
SAMN10081750,China,2011,0,0,0,0,0
SAMN13008325,Switzerland,2011,0,0,0,0,0
SAMN13008328,Switzerland,2011,0,0,0,0,0
SAMN13008351,Switzerland,2011,0,0,0,0,0
SAMN13008355,Switzerland,2011,0,0,0,0,0
SAMN13008404,Switzerland,2011,0,0,0,0,0
SAMN13008406,Switzerland,2011,0,0,0,0,0
SAMN13008409,Switzerland,2011,0,0,0,0,0
SAMN14132428,China,2011,0,0,0,1,0
SAMN21845653,Botswana,2011,0,0,0,0,0
SAMN29421124,Botswana,2011,0,0,0,1,0
SAMN29548482,Colombia,2011,0,0,0,0,0
SAMN30841943,China,2011,0,0,0,0,0
SAMN31309353,Thailand,2011,0,0,0,1,0
SAMN31309354,Thailand,2011,0,0,0,1,0
SAMN43083517,Poland,2011,0,0,0,0,0
SAMEA5358520,Argentina,2012,0,0,0,0,0
SAMEA5358703,Argentina,2012,0,0,0,0,0
SAMEA6538641,Argentina,2012,0,0,0,0,0
SAMN02369462,Japan,2012,0,0,0,1,0
SAMN02369503,USA,2012,0,0,0,0,0
SAMN03702584,France,2012,0,0,0,0,0
SAMN03702585,France,2012,0,0,0,0,0
SAMN04530063,Australia,2012,0,0,0,1,0
SAMN04932665,Spain,2012,0,1,0,0,0
SAMN04992858,Spain,2012,0,1,0,0,0
SAMN05150101,Spain,2012,0,1,0,0,0
SAMN05363625,China,2012,0,0,0,0,0
SAMN08009720,China,2012,0,0,0,0,1
SAMN08009726,China,2012,0,0,0,0,1
SAMN08009727,China,2012,0,0,0,0,1
SAMN08009728,China,2012,0,0,0,0,1
SAMN08290293,Russia,2012,0,0,0,0,0
SAMN09087848,South Korea,2012,0,0,0,0,0
SAMN09239981,Japan,2012,0,0,0,1,0
SAMN10078329,France,2012,0,0,0,0,0
SAMN10365222,France,2012,0,0,0,0,0
SAMN10365333,France,2012,0,0,0,0,0
SAMN10365334,France,2012,0,0,0,0,0
SAMN10365335,France,2012,0,0,0,0,0
SAMN10365485,France,2012,0,0,0,0,0
SAMN15090016,China,2012,0,0,0,0,0
SAMN15090017,China,2012,0,0,0,0,0
SAMN15239572,South Korea,2012,0,0,0,0,0
SAMN16094718,China,2012,0,0,0,0,1
SAMN18230337,Brazil,2012,0,0,0,0,0
SAMN19292103,Poland,2012,0,0,0,0,1
SAMN19292104,Poland,2012,0,0,0,0,1
SAMN19969475,Spain,2012,0,1,0,0,0
SAMN19969485,Spain,2012,0,1,0,0,0
SAMN27996790,Brazil,2012,0,0,0,0,0
SAMN27996794,Brazil,2012,0,0,0,0,0
SAMN03766175,Russia,2013,0,0,0,1,0
SAMN04092618,China,2013,0,0,0,0,0
SAMN04231183,Algeria,2013,0,0,0,0,0
SAMN05300206,China,2013,0,0,0,0,0
SAMN05990127,Brazil,2013,0,0,0,0,1
SAMN07352899,Brazil,2013,0,0,0,0,1
SAMN08009736,Russia,2013,0,0,0,0,1
SAMN08009740,Russia,2013,0,0,0,0,1
SAMN08009742,Russia,2013,0,0,0,0,1
SAMN09398937,Slovakia,2013,0,0,0,0,0
SAMN09398942,Slovakia,2013,0,0,0,0,0
SAMN09398943,Slovakia,2013,0,0,0,0,0
SAMN10365601,France,2013,0,0,0,0,0
SAMN10386560,Brazil,2013,0,0,0,0,1
SAMN10386561,Brazil,2013,0,0,0,0,1
SAMN10754956,Italy,2013,0,0,0,0,0
SAMN10754960,Italy,2013,0,0,0,0,0
SAMN12272102,Brazil,2013,0,0,0,0,1
SAMN12710425,Brazil,2013,0,0,0,0,1
SAMN14073955,China,2013,0,0,0,1,0
SAMN16094719,China,2013,0,0,0,0,1
SAMN17615123,Brazil,2013,0,0,0,0,1
SAMN17615183,Brazil,2013,0,0,0,0,1
SAMN17717972,South Korea,2013,0,0,0,0,0
SAMN18062968,Brazil,2013,0,0,0,0,1
SAMN18063035,Brazil,2013,0,0,0,0,1
SAMN18063036,Brazil,2013,0,0,0,0,1
SAMN18063042,Brazil,2013,0,0,0,0,1
SAMN18063048,Brazil,2013,0,0,0,0,1
SAMN18876450,South Korea,2013,0,0,0,0,0
SAMN21235229,Italy,2013,0,0,0,0,0
SAMN21845660,NA,2013,0,0,0,0,0
SAMN29681576,Norway,2013,0,0,0,0,1
SAMN29681577,Norway,2013,0,0,0,0,0
SAMN29681586,Norway,2013,0,0,0,0,1
SAMN30247567,China,2013,0,0,0,0,0
SAMN31135161,Czech Republic,2013,0,0,0,1,0
SAMN31135162,Czech Republic,2013,0,0,0,1,0
SAMN31135163,Czech Republic,2013,0,0,0,1,0
SAMN31135164,Czech Republic,2013,0,0,0,1,0
SAMN31972702,Brazil,2013,0,0,0,0,1
SAMN35847947,Czech Republic,2013,0,0,0,0,0
SAMN43834269,South Korea,2013,0,0,0,1,0
SAMD00466815,Japan,2014,0,0,0,0,1
SAMN03852102,South Korea,2014,0,0,0,1,0
SAMN04487212,France,2014,0,0,0,0,0
SAMN04517536,South Korea,2014,0,0,0,0,0
SAMN06619691,South Korea,2014,0,0,0,0,0
SAMN06670431,China,2014,0,0,0,0,0
SAMN07620857,China,2014,0,0,0,0,0
SAMN07620858,China,2014,0,0,0,0,0
SAMN07702371,USA,2014,0,0,0,0,0
SAMN08361670,China,2014,0,0,0,1,0
SAMN09283999,Argentina,2014,0,0,0,1,0
SAMN09604260,South Korea,2014,0,0,0,0,0
SAMN10145049,China,2014,0,0,0,0,0
SAMN10365137,Ethiopia,2014,0,0,0,0,1
SAMN10365675,Ethiopia,2014,0,0,0,0,0
SAMN11456247,Canada,2014,0,0,0,0,0
SAMN11456248,Canada,2014,0,0,0,0,0
SAMN11456249,Canada,2014,0,0,0,0,0
SAMN11456250,Canada,2014,0,0,0,0,0
SAMN11456252,Canada,2014,0,0,0,0,0
SAMN11456253,Canada,2014,0,0,0,0,0
SAMN11456255,Canada,2014,0,0,0,0,0
SAMN11456256,Canada,2014,0,0,0,0,0
SAMN14070316,Canada,2014,0,0,0,0,0
SAMN14070325,Canada,2014,0,0,0,0,0
SAMN15566637,Australia,2014,0,0,0,0,1
SAMN16268313,South Korea,2014,0,1,0,0,0
SAMN19292106,Poland,2014,0,0,0,0,1
SAMN19292310,Poland,2014,0,0,0,0,1
SAMN34046340,Norway,2014,0,0,0,0,1
SAMN35847981,Czech Republic,2014,0,0,0,0,1
SAMN40966621,China,2014,0,0,0,1,0
SAMN46546627,Poland,2014,0,0,0,1,0
SAMD00466816,Japan,2015,0,0,0,0,0
SAMD00466817,Japan,2015,0,0,0,0,1
SAMN04017317,South Korea,2015,0,0,0,0,0
SAMN04198570,South Korea,2015,0,0,0,0,0
SAMN05645852,Sweden,2015,0,0,0,0,0
SAMN05712721,South Korea,2015,0,0,0,0,0
SAMN05722918,South Korea,2015,0,0,0,1,0
SAMN05921089,China,2015,0,0,0,1,0
SAMN06046789,Malaysia,2015,0,0,0,0,0
SAMN07156024,South Korea,2015,0,0,0,0,0
SAMN07829376,France,2015,0,0,0,0,0
SAMN08926774,Brazil,2015,0,0,0,0,0
SAMN10357349,China,2015,0,0,0,0,0
SAMN10365453,France,2015,0,0,0,1,0
SAMN10365487,France,2015,0,0,0,0,0
SAMN10365602,France,2015,0,0,0,0,0
SAMN10417155,South Korea,2015,0,0,0,0,0
SAMN10417190,South Korea,2015,0,0,0,0,0
SAMN10744014,Germany,2015,0,0,0,0,0
SAMN11053536,South Korea,2015,0,0,0,0,0
SAMN11831832,United Kingdom,2015,0,0,0,0,0
SAMN11831833,United Kingdom,2015,0,0,0,0,0
SAMN16072876,China,2015,0,0,0,1,0
SAMN19292107,Poland,2015,0,0,0,0,1
SAMN22929529,China,2015,0,0,0,0,1
SAMN22929586,China,2015,0,0,0,0,1
SAMN29681579,Norway,2015,0,0,0,0,1
SAMN29884051,Norway,2015,0,0,0,0,1
SAMN31865533,South Korea,2015,0,0,0,0,0
SAMN35847943,Czech Republic,2015,0,0,0,0,0
SAMN36084924,Viet Nam,2015,0,0,0,0,0
SAMN36717640,Mexico,2015,0,0,0,0,1
SAMN37256209,South Korea,2015,0,0,0,1,0
SAMN37256217,South Korea,2015,0,0,0,0,0
SAMN42370084,France,2015,0,0,0,0,0
SAMN04858206,South Korea,2016,0,0,0,0,0
SAMN05981503,Denmark,2016,0,0,0,0,0
SAMN05981504,Denmark,2016,0,0,0,0,0
SAMN07361834,Switzerland,2016,0,0,0,0,1
SAMN07834139,France,2016,0,0,0,0,0
SAMN07834417,France,2016,0,0,0,0,0
SAMN08741665,India,2016,0,0,0,0,0
SAMN08793894,India,2016,0,0,0,1,0
SAMN09399639,USA,2016,0,0,0,0,1
SAMN10365336,France,2016,0,0,0,0,0
SAMN10365421,France,2016,0,0,0,0,0
SAMN10365466,France,2016,0,0,0,0,0
SAMN10365470,France,2016,0,0,0,0,0
SAMN10365471,France,2016,0,0,0,0,0
SAMN10365486,France,2016,0,0,0,0,0
SAMN10365489,France,2016,0,0,0,0,0
SAMN10365490,France,2016,0,0,0,0,0
SAMN10365590,France,2016,0,0,0,0,0
SAMN10365603,France,2016,0,0,0,0,0
SAMN10365604,France,2016,0,0,0,0,1
SAMN11130366,China,2016,0,0,0,0,0
SAMN11130368,China,2016,0,0,0,0,0
SAMN11130370,China,2016,0,0,0,0,0
SAMN12547815,China,2016,0,0,0,0,1
SAMN12547816,China,2016,0,0,0,0,1
SAMN12547819,China,2016,0,0,0,0,1
SAMN12547820,China,2016,0,0,0,0,1
SAMN12547821,China,2016,0,0,0,0,1
SAMN12547822,China,2016,0,0,0,0,1
SAMN12547823,China,2016,0,0,0,0,1
SAMN12551643,China,2016,0,0,0,0,0
SAMN13259076,Russia,2016,0,0,0,1,0
SAMN14239240,Canada,2016,0,0,0,0,0
